(
(0    (1.0000053746520499 0.0003248561429404766 0.00022239580371826375 -0.0017217258145321031 0.9999669465394296 -7.44707811940124e-05 -0.0011377329869539216 -0.00013927296234416602 1.0000268776741688))
(1    (1.0000235687956862 0.0002945413944558627 0.00020305240865280848 -0.0019274521469226998 0.9999690485041072 -2.858165794334871e-05 -0.0012970915096186405 -9.200195336806122e-05 1.0000065549732302))
(2    (1.0001426110217502 0.00025935592486322194 0.00017352437791270052 -0.0018226787830684682 0.9998665697051218 -0.0001840557698061392 -0.0012096202416567907 -0.00026258621705915443 0.9999902039996109))
(3    (1.0001553368058826 -0.0002840801179533199 -0.00025563041897954254 -0.001612851929368946 0.9998634970583613 -0.00014809928035755277 -0.0010307601755833648 -0.00023947616930495446 0.9999819449217914))
(4    (1.0001678718881148 -0.0008275305047876043 -0.0006848060299701585 -0.001403016634981744 0.9998603112195545 -0.0001122332512540501 -0.0008518944757544393 -0.00021646358645198573 0.9999736099802783))
(5    (1.0002375539573458 -0.0009277067183813879 -0.0007626902429693973 -0.0008424304559361924 0.9998157013023765 -0.00011710863948485106 -0.00042757830745672915 -0.00022213072942112158 0.9999479250383279))
(6    (1.0002659984860467 -0.0016806566380114507 -0.0013327235873163085 -0.0001217343891782366 0.9998072245009018 -5.516279947858457e-05 0.00013367330975053236 -0.00018242414627692174 0.9999268701884997))
(7    (1.0002935809912306 -0.0024336435619952182 -0.0019028072945783173 0.0005990116316233617 0.9997982077127425 6.3705070169737655e-06 0.0006949583071912814 -0.00014314123590165764 0.9999054983945289))
(8    (1.0003203013924846 -0.0031866668430914043 -0.0024729408747279423 0.0013198069870385735 0.9997886508889668 6.749122712085421e-05 0.0012562762024679634 -0.00010428203204623568 0.9998838096180951))
(9    (1.000346159610135 -0.003939725833984786 -0.0030431238376625184 0.0020406510575541087 0.9997785539811069 0.00012819930830319126 0.0018176265131229295 -6.584656809963939e-05 0.9998618038211512))
(10    (1.0007642162732435 -0.003756775481578461 -0.00290040135415662 0.002748190093425732 0.9996458897976417 0.00036367733354624344 0.0023409941560261502 0.00026158792066180875 0.9995733325527338))
(11    (1.00118265338265 -0.003573726137724458 -0.00275761737310216 0.0034560572390448566 0.9995134500397377 0.0005991571315084524 0.0028646634400267897 0.0005889804185203651 0.9992850963150105))
(12    (1.00125714625368 -0.0037389290234801373 -0.002871767176406827 0.004038789778473891 0.9994681255910104 0.0005993671214440628 0.0032895883057752202 0.0005702583322371664 0.9992517638268602))
(13    (1.0013315002046237 -0.0039041347400130145 -0.0029859218124591268 0.004621541257272878 0.9994227068896114 0.0005995105841970108 0.003714521107980426 0.0005514674867370038 0.9992183839424744))
(14    (1.0014057152209934 -0.004069343264157338 -0.0031000812652509043 0.005204311593758228 0.9993771939378434 0.0005995875197450086 0.004139461787078452 0.0005326078846511751 0.9991849566624702))
(15    (1.0014797912883195 -0.004234554572745135 -0.0032142455187718685 0.005787100706242483 0.999331586738023 0.0005995979280748385 0.0045644102835035675 0.0005136795286203993 0.9991514819874715))
(16    (1.0015537283921514 -0.004399768642607368 -0.003328414557010589 0.006369908513033178 0.99928588529248 0.0005995418091826049 0.004989366537687219 0.000494682421295107 0.9991179599181084))
(17    (1.0016275265180574 -0.004564985450573943 -0.003442588363954504 0.006952734932432868 0.9992400896035577 0.0005994191630737357 0.005414330490058038 0.00047561656533544084 0.9990843904550183))
(18    (1.001701185651626 -0.004730204973473712 -0.0035567669235899184 0.007535579882739128 0.9991941996736131 0.0005992299897629819 0.005839302081041852 0.0004564819634112549 0.9990507735988456))
(19    (1.0017747057784636 -0.004895427188134473 -0.0036709502199020047 0.008118443282244566 0.9991482155050161 0.000598974289274418 0.006264281251061689 0.00043727861820211443 0.9990171093502408))
(20    (1.0018480868841966 -0.005060652071382975 -0.00378513823687481 0.008701325049236838 0.9991021371001503 0.0005986520616414422 0.0066892679405377905 0.00041800653239729634 0.9989833977098617))
(21    (1.0019213289544704 -0.005225879600044923 -0.0038993309584912563 0.009284225101998658 0.9990559644614128 0.000598263306906777 0.007114262089887615 0.00039866570869578866 0.9989496386783726))
(22    (1.0019944319749494 -0.005391109750944981 -0.004013528368733142 0.009867143358807808 0.9990096975912139 0.0005978080251224693 0.007539263639525851 0.00037925614980629065 0.998915832256445))
(23    (1.0020673959313173 -0.005556342500906771 -0.004127730451581141 0.010450079737937145 0.9989633364919772 0.0005972862163498902 0.007964272529864418 0.0003597778584472125 0.9988819784447565))
(24    (1.0021402208092771 -0.005721577826752881 -0.004241937191014814 0.011033034157654623 0.9989168811661397 0.000596697880659736 0.008389288701312482 0.00034023083734667546 0.9988480772439918))
(25    (1.0022129065945513 -0.005886815705304868 -0.004356148571012599 0.011616006536223302 0.9988703316161525 0.0005960430181320279 0.008814312094276468 0.0003206150892425117 0.998814128654843))
(26    (1.0022854532728807 -0.006052056113383256 -0.004470364575551824 0.012198996791901347 0.9988236878444788 0.0005953216288561125 0.00923934264916005 0.00030093061688226395 0.9987801326780077))
(27    (1.002357860830026 -0.006217299027807548 -0.0045845851886087054 0.012782004842942058 0.9987769498535964 0.0005945337129306624 0.00966438030636418 0.00028117742302318573 0.9987460893141915))
(28    (1.002430129251767 -0.006382544425396218 -0.004698810394158345 0.013365030607593864 0.9987301176459956 0.0005936792704636754 0.010089425006287081 0.0002613555104322411 0.9987119985641059))
(29    (1.0025022585239027 -0.006547792282966726 -0.004813040176174741 0.01394807400410035 0.9986831912241809 0.0005927583015724762 0.010514476689324268 0.00024146488188610447 0.9986778604284698))
(30    (1.002574248632251 -0.006713042577335512 -0.004927274518630782 0.014531134950700249 0.9986361705906693 0.0005917708063837153 0.010939535295868545 0.00022150554017116053 0.9986436749080083))
(31    (1.0026460995626494 -0.006878295285318006 -0.005041513405498257 0.01511421336562748 0.9985890557479921 0.00059071678503337 0.01136460076631002 0.00020147748808350437 0.9986094420034538))
(32    (1.0027178113009545 -0.007043550383728628 -0.005155756820747855 0.015697309167111134 0.9985418466986934 0.0005895962376667451 0.011789673041036118 0.00018138072842894103 0.9985751617155455))
(33    (1.0027893838330417 -0.007208807849380786 -0.00527000474834916 0.0162804222733755 0.9984945434453307 0.0005884091644384713 0.012214752060431572 0.00016121526402298553 0.9985408340450287))
(34    (1.0028608171448066 -0.007374067659086892 -0.0053842571722706655 0.01686355260264007 0.9984471459904752 0.000587155565512508 0.012639837764878448 0.0001409810976908628 0.9985064589926562))
(35    (1.002932111222163 -0.007539329789658355 -0.005498514076479768 0.017446700073119558 0.9983996543367115 0.0005858354410621416 0.01306493009475615 0.00012067823226750751 0.9984720365591875))
(36    (1.0030032660510444 -0.007704594217905586 -0.005612775444942771 0.0180298646030239 0.998352068486637 0.0005844487912699865 0.01349002899044142 0.00010030667059756395 0.9984375667453882))
(37    (1.0030742816174032 -0.007869860920638004 -0.005727041261624891 0.018613046110558272 0.9983043884428634 0.0005829956163279851 0.013915134392308355 7.986641553538594e-05 0.9984030495520315))
(38    (1.0031451579072117 -0.008035129874664038 -0.005841311510490253 0.019196244513923107 0.9982566142080153 0.0005814759164374084 0.014340246240728419 5.935746994503667e-05 0.9983684849798973))
(39    (1.0032158949064607 -0.008200401056791125 -0.005955586175501898 0.01977945973131409 0.9982087457847303 0.000579889691808856 0.014765364476070434 3.877983670028859e-05 0.9983338730297714))
(40    (1.0032864926011609 -0.008365674443825724 -0.006069865240621789 0.02036269168092219 0.9981607831756603 0.0005782369426622563 0.01519048903870061 1.813351868462334e-05 0.9982992137024476))
(41    (1.0033569509773412 -0.008530950012573313 -0.0061841486898107974 0.020945940280933648 0.9981127263834696 0.0005765176692268667 0.015615619868982529 -2.581481208768469e-06 0.9982645069987254))
