# Forces               
# CofR                 : (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)
# Time                 forces(pressure viscous porous)	moments(pressure viscous porous)
0.0000000              	((0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00) (-4.254676172094065e+01 0.000000000000000e+00 0.000000000000000e+00) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00) (0.000000000000000e+00 0.000000000000000e+00 3.187969997352990e-02) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0000500              	((0.000000000000000e+00 -8.843260726279942e+01 0.000000000000000e+00) (-4.163069878651541e+00 4.056750625403812e-03 5.567089321736040e-18) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802634563446564e-02) (4.171343014700830e-21 1.564853898077671e-19 3.112435971484795e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0000500              	((0.000000000000000e+00 -8.843268001251931e+01 0.000000000000000e+00) (-4.162667335974615e+00 4.056169266933632e-03 -8.492548716618975e-18) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639392744747e-02) (-6.363349269026720e-21 1.633996514193014e-19 3.112134559394362e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0000500              	((0.000000000000000e+00 -8.843268006141251e+01 0.000000000000000e+00) (-4.162667077578001e+00 4.056168870255193e-03 -1.307739652904742e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639395979594e-02) (-9.798712308949161e-21 1.539932461526758e-19 3.112134365926905e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0000500              	((0.000000000000000e+00 -8.843268006141251e+01 0.000000000000000e+00) (-4.162667077578001e+00 4.056168870255193e-03 -1.307739652904742e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639395979594e-02) (-9.798712308949161e-21 1.539932461526758e-19 3.112134365926905e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0001000              	((0.000000000000000e+00 -8.843267989088932e+01 0.000000000000000e+00) (-4.162666982124855e+00 4.056169504163913e-03 -5.035505036610080e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639363730011e-02) (-3.773034263693872e-20 1.411898843818856e-19 3.112134293143743e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0001000              	((0.000000000000000e+00 -8.843267989090920e+01 0.000000000000000e+00) (-4.162666981985332e+00 4.056169503952656e-03 -1.889936504404646e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639363731888e-02) (-1.416103277721083e-20 1.671365114678864e-19 3.112134293039272e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0001000              	((0.000000000000000e+00 -8.843267989091845e+01 0.000000000000000e+00) (-4.162666981983099e+00 4.056169503949762e-03 -1.568380110086275e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639363731870e-02) (-1.175165519809550e-20 1.911739711182338e-19 3.112134293037603e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0001000              	((0.000000000000000e+00 -8.843267989091845e+01 0.000000000000000e+00) (-4.162666981983099e+00 4.056169503949762e-03 -1.568380110086275e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639363731870e-02) (-1.175165519809550e-20 1.911739711182338e-19 3.112134293037603e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
0.0001500              	((0.000000000000000e+00 -8.843267993375029e+01 0.000000000000000e+00) (-4.162667004813090e+00 4.056169343885688e-03 -4.321519362646776e-17) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00)) ((0.000000000000000e+00 0.000000000000000e+00 3.802639371807125e-02) (-3.238054675337895e-20 1.470695723498521e-19 3.112134310459742e-03) (0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00))
