x-coordinate,y-coordinate
4.156599866521579895e-02,3.003670747804425625e-02
4.161218730876734689e-02,2.997266620603866033e-02
4.151966928274721663e-02,3.010064709359107360e-02
4.147327354849462966e-02,3.016453866759126121e-02
4.142676748351903360e-02,3.022834978553288338e-02
4.138012275230314174e-02,3.029205971658587709e-02
4.133344362421568358e-02,3.035574452389325564e-02
4.128667840967369801e-02,3.041936597034689688e-02
4.123976651524354636e-02,3.048287944712730832e-02
4.119277916851707411e-02,3.054633715895560195e-02
4.114571054229619607e-02,3.060973450752849448e-02
4.109853449141124410e-02,3.067305201028187878e-02
4.105126589168265477e-02,3.073630049365948594e-02
4.100387780642573282e-02,3.079945942174757909e-02
4.095635754027505265e-02,3.086251900597636669e-02
4.090875595456720804e-02,3.092551722147753729e-02
4.086109084333608421e-02,3.098846738219532618e-02
4.081334264615474328e-02,3.105135455005052919e-02
4.076546752575100491e-02,3.111414512254945600e-02
4.071748574218413824e-02,3.117685425506730099e-02
4.066943752671855344e-02,3.123951247189503053e-02
4.062133033742002658e-02,3.130212551917239960e-02
4.057309095386765069e-02,3.136463660545905224e-02
4.052469601729910553e-02,3.142702745212717919e-02
4.047626052111589351e-02,3.148938684927344439e-02
4.042776264465927638e-02,3.155169764253556997e-02
4.037914311705092379e-02,3.161391362899911017e-02
4.033040433702533845e-02,3.167603625958199248e-02
4.028154459919890823e-02,3.173806373726827113e-02
4.023258727771936161e-02,3.180001424568063700e-02
4.018359453826429728e-02,3.186193679435764259e-02
4.013451881801158305e-02,3.192379350305824676e-02
4.008530840153672753e-02,3.198554318020816606e-02
4.003599503674425825e-02,3.204721068876198453e-02
3.998658235220185764e-02,3.210879858353178629e-02
3.993707270651326857e-02,3.217030858736828758e-02
3.988749128139430777e-02,3.223176076084987435e-02
3.983782547720996631e-02,3.229314472747699116e-02
3.978805710394081596e-02,3.235444558616970556e-02
3.973819073059345341e-02,3.241566674243413770e-02
3.968823071797659280e-02,3.247681152305505886e-02
3.963817229217117544e-02,3.253787575378606217e-02
3.958800333906777047e-02,3.259884916438265251e-02
3.953775930676953904e-02,3.265976081064525527e-02
3.948744716829935553e-02,3.272061616611623286e-02
3.943700078239466278e-02,3.278136021949443896e-02
3.938645757453185237e-02,3.284202385952268016e-02
3.933585546324776250e-02,3.290263829912148941e-02
3.928515183418693907e-02,3.296316783586170779e-02
3.923434401070812622e-02,3.302360998284286503e-02
3.918344376676910490e-02,3.308397429503769083e-02
3.913244951245911651e-02,3.314425922797829827e-02
3.908135343351835239e-02,3.320445784739536887e-02
3.903016445016004032e-02,3.326457750293083937e-02
3.897891327502165520e-02,3.332464420489014700e-02
3.892755702331091028e-02,3.338462098139334533e-02
3.887607341566847591e-02,3.344448854875410604e-02
3.882452316305214784e-02,3.350429873408079101e-02
3.877290422717958457e-02,3.356404964674438579e-02
